"Time stamp","System power generated | (kW)"
"1351",-12.2538
"1352",363.967
"1353",21438.2
"1354",71086.2
"1355",48719.1
"1356",50448.3
"1357",55696.1
"1358",20487.8
"1359",36836.2
"1360",71678.5
"1361",64462.2
"1362",44172.2
"1363",-12.2538
"1364",-12.2538
"1365",-12.2538
"1366",-12.2538
"1367",-12.2538
"1368",-12.2538
"1369",-12.2538
"1370",-12.2538
"1371",-12.2538
"1372",-12.2538
"1373",-12.2538
"1374",-12.2538
"1375",-12.2538
"1376",28412.5
"1377",59051.4
"1378",48786.7
"1379",55885.6
"1380",60243.1
"1381",41083.4
"1382",42359.8
"1383",2746.25
"1384",19596.5
"1385",11041.5
"1386",2398.95
"1387",-12.2538
"1388",-12.2538
"1389",-12.2538
"1390",-12.2538
"1391",-12.2538
"1392",-12.2538
"1393",-12.2538
"1394",-12.2538
"1395",-12.2538
"1396",-12.2538
"1397",-12.2538
"1398",-12.2538
"1399",-12.2538
"1400",11483.7
"1401",40915.6
"1402",56132.1
"1403",17558.5
"1404",11715.3
"1405",40819.2
"1406",4480.2
"1407",3725.78
"1408",31483
"1409",7517.11
"1410",45644.3
"1411",-12.2538
"1412",-12.2538
"1413",-12.2538
"1414",-12.2538
"1415",-12.2538
"1416",-12.2538
"1417",-12.2538
"1418",-12.2538
"1419",-12.2538
"1420",-12.2538
"1421",-12.2538
"1422",-12.2538
"1423",-12.2538
"1424",3861.99
"1425",21224.3
"1426",48433.6
"1427",56986.2
"1428",65674.3
"1429",64206.4
"1430",59481.9
"1431",61205.1
"1432",69604.1
"1433",62831.7
"1434",41793.9
"1435",-12.2538
"1436",-12.2538
"1437",-12.2538
"1438",-12.2538
"1439",-12.2538
"1440",-12.2538
"1441",-12.2538
"1442",-12.2538
"1443",-12.2538
"1444",-12.2538
"1445",-12.2538
"1446",-12.2538
"1447",-12.2538
"1448",32920.9
"1449",64177
"1450",72480.9
"1451",70410.7
"1452",56690.7
"1453",53760.6
"1454",65319.9
"1455",67796.9
"1456",69855.1
"1457",64189.9
"1458",12048.1
"1459",-12.2538
"1460",-12.2538
"1461",-12.2538
"1462",-12.2538
"1463",-12.2538
"1464",-12.2538
"1465",-12.2538
"1466",-12.2538
"1467",-12.2538
"1468",-12.2538
"1469",-12.2538
"1470",-12.2538
"1471",-12.2538
"1472",35596.1
"1473",62695.2
"1474",71484.3
"1475",71273.3
"1476",68908.5
"1477",67143.4
"1478",68108.5
"1479",71120
"1480",73672.7
"1481",60095.1
"1482",46866.7
"1483",-12.2538
"1484",-12.2538
"1485",-12.2538
"1486",-12.2538
"1487",-12.2538
"1488",-12.2538
"1489",-12.2538
"1490",-12.2538
"1491",-12.2538
"1492",-12.2538
"1493",-12.2538
"1494",-12.2538
"1495",-12.2538
"1496",1928.84
"1497",37038.5
"1498",42507.1
"1499",51831
"1500",55511.3
"1501",56989.2
"1502",58733.3
"1503",54613.5
"1504",54258.7
"1505",66327.7
"1506",45329.4
"1507",-12.2538
"1508",-12.2538
"1509",-12.2538
"1510",-12.2538
"1511",-12.2538
"1512",-12.2538
"1513",-12.2538
"1514",-12.2538
"1515",-12.2538
"1516",-12.2538
"1517",-12.2538
"1518",-12.2538
"1519",-12.2538
"1520",32765.3
"1521",64096.7
"1522",72765.1
"1523",71289.1
"1524",67941.6
"1525",65420.6
"1526",65100
"1527",67829.3
