"Time stamp","Subarray 1 Cell temperature (steady state) | (C)"
"1232",25.9
"1233",26.4
"1234",35.2226
"1235",42.5117
"1236",46.134
"1237",46.3691
"1238",48.4935
"1239",48.6824
"1240",48.2349
"1241",47.7563
"1242",37.1585
"1243",36.5395
"1244",41.5377
"1245",35.3024
"1246",27.1
"1247",26.8
"1248",26.7
"1249",26.6
"1250",26.5
"1251",26.3
"1252",26.1
"1253",25.9
"1254",25.7
"1255",25.5
"1256",25.4
"1257",25.7
"1258",34.6243
"1259",42.0262
"1260",45.8119
"1261",47.3418
"1262",48.3739
"1263",48.5409
"1264",48.1475
"1265",47.5935
"1266",46.6721
"1267",45.1622
"1268",41.7922
"1269",35.2659
"1270",27.3
"1271",26.9
"1272",26.5
"1273",26.2
"1274",26
"1275",25.8
"1276",25.6
"1277",25.5
"1278",25.4
"1279",25.3
"1280",25.1
"1281",25.7
"1282",34.7631
"1283",41.1385
"1284",45.6213
"1285",49.8943
"1286",46.9875
"1287",49.2847
"1288",47.094
"1289",48.4208
"1290",44.5359
"1291",43.0082
"1292",34.2458
"1293",34.1995
"1294",27.4
"1295",27.2
"1296",27
"1297",26.9
"1298",26.7
"1299",26.5
"1300",26.3
"1301",26.2
"1302",26
"1303",25.9
"1304",25.8
"1305",26.1
"1306",33.4024
"1307",42.9794
"1308",47.322
"1309",48.5151
"1310",48.2504
"1311",48.9049
"1312",48.7106
"1313",48.0731
"1314",46.8947
"1315",45.1783
"1316",36.979
"1317",30.8124
"1318",27.5
"1319",27.3
"1320",27.2
"1321",27
"1322",26.8
"1323",26.7
"1324",26.5
"1325",26.3
"1326",26.2
"1327",26.1
"1328",26
"1329",26.2
"1330",33.5805
"1331",33.7069
"1332",32.4575
"1333",39.8744
"1334",41.832
"1335",44.1206
"1336",42.0655
"1337",40.115
"1338",38.106
"1339",35.9551
"1340",36.3827
"1341",34.61
"1342",26.8
"1343",26.6
"1344",26.4
"1345",26.4
"1346",26.2
"1347",26.1
"1348",25.9
"1349",25.7
"1350",25.5
"1351",25.3
"1352",25.2
"1353",25.5
"1354",33.3284
"1355",42.3731
"1356",42.0712
"1357",39.4376
"1358",39.0741
"1359",39.4975
"1360",40.3767
"1361",37.361
"1362",38.2637
"1363",34.0427
"1364",31.7026
"1365",27.6536
"1366",26.5
"1367",26.3
"1368",26.2
"1369",26
"1370",25.9
"1371",25.8
"1372",25.6
"1373",25.5
"1374",25.4
"1375",25.3
"1376",25.3
"1377",25.6
"1378",32.9508
"1379",37.1063
"1380",36.5878
"1381",38.5438
"1382",41.3219
"1383",32.4235
"1384",33.1357
"1385",36.9817
"1386",36.2937
"1387",31.756
"1388",35.6541
"1389",33.7078
"1390",26.5
"1391",26.3
"1392",26.2
"1393",26.1
"1394",25.9
"1395",25.7
"1396",25.5
"1397",25.3
"1398",25.2
"1399",25.1
"1400",25.1
"1401",25.4
"1402",33.3493
"1403",37.2847
"1404",36.3222
"1405",38.1597
"1406",40.506
"1407",42.5455
"1408",39.8292
"1409",44.4869
"1410",40.9887
"1411",39.949
"1412",40.1788
"1413",31.3279
"1414",26.6
"1415",26.5
"1416",26.4
"1417",26.2
"1418",26
"1419",25.8
"1420",25.6
"1421",25.5
"1422",25.4
"1423",25.2
"1424",25.2
"1425",25.5
"1426",28.5981
"1427",30.9111
"1428",38.3776
"1429",31.8513
"1430",35.1269
"1431",33.8911
"1432",31.6224
"1433",31.0173
"1434",30.2531
"1435",29.9511
"1436",32.8049
"1437",28.0374
"1438",26.3
"1439",26.2
"1440",26.1
"1441",26
"1442",26
"1443",25.8
"1444",25.7
"1445",25.5
"1446",25.3
"1447",25.2
"1448",25.1
"1449",25.4
"1450",34.0229
"1451",40.7005
"1452",44.5343
"1453",46.3179
"1454",47.1195
"1455",47.4176
"1456",46.9806
"1457",47.0718
"1458",44.1978
"1459",44.8255
"1460",41.3237
"1461",34.8403
"1462",26.9
"1463",26.6
"1464",26.4
"1465",26.2
"1466",26.1
"1467",26
"1468",25.9
"1469",25.8
"1470",25.7
"1471",25.6
"1472",25.5
"1473",25.8
"1474",33.9717
"1475",41.3001
"1476",44.9245
"1477",46.2632
"1478",46.9997
"1479",47.0376
"1480",46.9254
"1481",46.3188
"1482",45.2915
"1483",42.1224
"1484",39.0998
"1485",32.4348
"1486",26.7
"1487",26.5
"1488",26.4
"1489",26.3
"1490",26.3
"1491",26.3
"1492",26.2
"1493",26
"1494",25.9
"1495",25.8
"1496",25.8
"1497",26
"1498",32.6085
"1499",40.2713
"1500",44.0749
"1501",37.9909
"1502",40.0903
"1503",43.199
"1504",44.8271
"1505",41.166
"1506",38.0236
"1507",38.5525
"1508",32.4337
"1509",33.3279
"1510",26.6
"1511",26.4
"1512",26.2
"1513",26.1
"1514",26
"1515",25.9
"1516",25.8
"1517",25.7
"1518",25.6
"1519",25.6
"1520",25.5
"1521",25.8
"1522",28.9553
"1523",38.3285
"1524",40.8193
"1525",45.915
"1526",47.1188
"1527",47.193
"1528",45.9319
"1529",46.1423
"1530",45.2623
"1531",43.4581
"1532",39.0457
"1533",32.715
"1534",26.5
"1535",26.3
"1536",26.1
"1537",26
"1538",25.9
"1539",25.7
"1540",25.6
"1541",25.5
"1542",25.5
"1543",25.5
"1544",25.4
"1545",25.7
"1546",31.4923
"1547",41.7172
"1548",43.7891
"1549",48.0389
"1550",48.4454
"1551",48.295
"1552",43.3951
"1553",43.3218
"1554",40.8036
"1555",38.492
"1556",33.4327
"1557",31.597
"1558",27.2
"1559",27
"1560",26.8
"1561",26.6
"1562",26.4
"1563",26.3
"1564",26.2
"1565",26
"1566",25.9
"1567",25.8
"1568",25.8
"1569",26.1
"1570",35.0945
"1571",44.1747
"1572",49.0349
"1573",50.507
"1574",50.9925
"1575",50.6309
"1576",49.7466
"1577",48.6382
"1578",47.4682
"1579",45.3137
"1580",41.095
"1581",33.5346
"1582",27.2
"1583",26.9
"1584",26.6
"1585",26.5
"1586",26.3
"1587",26.1
"1588",26
"1589",25.8
"1590",25.7
"1591",25.5
"1592",25.4
"1593",25.7
"1594",34.5141
"1595",43.076
"1596",47.7161
"1597",49.4274
"1598",50.0305
"1599",50.0871
"1600",50.0664
"1601",49.5978
"1602",48.4922
"1603",46.3508
"1604",41.9219
"1605",34.0322
"1606",27.3
"1607",26.9
"1608",26.5
"1609",26.3
"1610",26.1
"1611",26
"1612",25.8
"1613",25.7
"1614",25.5
"1615",25.4
"1616",25.3
"1617",25.8
"1618",34.3842
"1619",42.6547
"1620",47.2195
"1621",49.2721
"1622",48.9004
"1623",47.8825
"1624",49.0173
"1625",48.6832
"1626",48.353
"1627",46.4581
"1628",42.2223
"1629",34.4236
"1630",27.2
"1631",26.8
"1632",26.4
"1633",26.2
"1634",26.1
"1635",26
"1636",25.9
"1637",25.7
"1638",25.6
"1639",25.4
"1640",25.3
"1641",25.7
"1642",34.588
"1643",43.0868
"1644",46.8144
"1645",49.4913
"1646",49.7508
"1647",49.7984
"1648",49.3459
"1649",48.5153
"1650",47.2704
"1651",45.2598
"1652",40.9616
"1653",33.4834
"1654",27.2
"1655",26.9
"1656",26.6
"1657",26.6
"1658",26.4
"1659",26.2
"1660",26
"1661",25.8
"1662",25.7
"1663",25.6
"1664",25.6
"1665",26
"1666",33.3956
"1667",40.8517
"1668",44.7164
"1669",46.3022
"1670",46.9047
"1671",47.0505
"1672",40.036
